event,result,white_elo,black_elo,eco,event_type,rd_white,rd_black,flag_white,flag_black,play_time_white,play_time_black,rated,time,increment,rating_diff
Rated Rapid game,0-1,863,965,C41,rapid,,,,,,,1,900,0,-102
Rated Rapid game,0-1,870,907,C20,rapid,,,,,,,1,600,0,-37
Rated Rapid game,0-1,1014,1003,C57,rapid,68,,,,551354,,1,600,0,11
Rated Rapid game,0-1,1418,1489,B30,rapid,,88,,RU,,656119,1,600,0,-71
Rated Rapid game,0-1,1651,1814,D05,rapid,45,,,,1270927,,1,600,0,-163
Rated Rapid game,0-1,1596,1523,C30,rapid,45,45,,RU,1842443,9203624,1,600,0,73
Rated Rapid game,0-1,1961,1991,B01,rapid,45,51,,,2724028,24661029,1,600,0,-30
Rapid swiss,0-1,1234,709,A40,rapid,,,,,,,0,600,2,525
Rated Rapid game,0-1,1379,1279,B02,rapid,59,,,,172554,,1,600,0,100
Rated Rapid game,0-1,1423,1541,C24,rapid,,79,,,,116730,1,600,0,-118
Rated Rapid game,0-1,1117,1124,A00,rapid,75,87,,,26310,338660,1,600,5,-7
Rated Rapid tournament,0-1,1998,1969,A40,rapid,,,,,,,1,480,0,29
Rated Rapid game,0-1,1621,1649,C44,rapid,45,47,,,376863,2579130,1,600,5,-28
Rated Rapid game,0-1,1388,1410,A00,rapid,70,67,,,483460,115124,1,600,0,-22
Rated Rapid game,0-1,1776,1941,B00,rapid,79,,IT,,358141,,1,600,0,-165
Rated Rapid tournament,0-1,1666,1882,A53,rapid,45,45,,EU,13864509,15095010,1,600,0,-216
Rated Rapid game,0-1,2293,2330,C40,rapid,47,,,,6485384,,1,600,0,-37
Rated Rapid game,0-1,1799,2145,C47,rapid,186,264,,,6106619,2596166,1,600,0,-346
Rated Rapid game,0-1,1522,1575,B21,rapid,,83,,,,788867,1,600,0,-53
Rated Rapid tournament,0-1,817,1428,C24,rapid,,45,,,,5896223,1,600,0,-611
Rated Rapid tournament,0-1,1973,2236,B40,rapid,46,45,AR,BA,4014227,6181535,1,480,0,-263
Rated Rapid game,0-1,1725,1596,B01,rapid,,,,,,,1,600,0,129
Rated Rapid game,0-1,1123,1179,C00,rapid,,91,,,-1,51475,1,600,0,-56
Rated Rapid game,0-1,1530,1535,B01,rapid,45,,,,2946656,,1,600,5,-5
Rated Rapid game,0-1,1210,1264,C30,rapid,64,89,,RU,11811880,1949455,1,600,5,-54
Rated Rapid game,0-1,1670,1677,D01,rapid,,,,,,,1,600,0,-7
Rated Rapid game,0-1,1650,1665,A80,rapid,,,,,,,1,600,0,-15
Rated Rapid game,0-1,1448,1465,C41,rapid,76,45,,,230484,26308843,1,600,0,-17
Rated Rapid game,0-1,1456,1416,C54,rapid,47,49,,,1335840,1429540,1,600,0,40
Rated Rapid tournament,0-1,1629,1751,B17,rapid,,,,,,,1,900,5,-122
Rated Rapid game,0-1,2057,1999,B12,rapid,59,,,,7028022,,1,600,0,58
Rated Rapid game,0-1,1520,1559,B00,rapid,,,,,,,1,600,0,-39
Rated Rapid game,0-1,1662,1649,C60,rapid,73,66,,,1877334,95717,1,600,5,13
Rated Rapid game,0-1,1664,1767,A01,rapid,93,53,PS,AR,66750,5133602,1,600,0,-103
Rated Rapid game,0-1,1477,1561,B00,rapid,89,,,,224713,,1,600,0,-84
Rated Rapid game,0-1,1086,1089,C42,rapid,,45,,,,268912,1,600,0,-3
Rated Rapid game,0-1,1302,1367,C22,rapid,,,,,,,1,600,0,-65
Rated Rapid tournament,0-1,954,929,C23,rapid,,,,,,,1,420,3,25
Rated Rapid game,0-1,1870,1918,D02,rapid,45,,ES,,21500846,,1,600,0,-48
Rated Rapid tournament,0-1,1109,1550,A40,rapid,,,,,,,1,600,0,-441
Rated Rapid game,0-1,1656,1690,B20,rapid,,,,,,,1,600,0,-34
Rated Rapid tournament,0-1,1364,1431,A00,rapid,,45,,,,5896223,1,600,0,-67
Rated Rapid game,0-1,1672,1685,B15,rapid,,45,,,,3125522,1,600,0,-13
Rated Rapid game,0-1,1276,1313,B01,rapid,45,45,,BE,11301932,22272342,1,600,0,-37
Rated Rapid game,0-1,1500,1413,B00,rapid,304,,,,1793,,1,600,0,87
Rated Rapid game,0-1,1679,1756,B10,rapid,,,,,,,1,600,0,-77
Rated Rapid tournament,0-1,647,1111,C20,rapid,137,,,,104350,,1,420,2,-464
Rated Rapid game,0-1,1590,1508,C40,rapid,45,,,,7778154,,1,600,0,82
Rated Rapid game,0-1,947,983,C50,rapid,,,,,,,1,600,0,-36
Rated Rapid tournament,0-1,1668,2006,A40,rapid,,,,,,,1,600,0,-338
Rated Rapid game,0-1,1608,1584,C50,rapid,,45,,,,3684642,1,600,0,24
Rated Rapid game,0-1,1586,1624,C23,rapid,55,,,,3225353,,1,600,0,-38
Rated Rapid game,0-1,2148,2120,D02,rapid,56,,,,1115793,,1,600,0,28
Rated Rapid game,0-1,1555,1591,C30,rapid,45,49,,,3399630,1523639,1,600,0,-36
Rated Rapid game,0-1,1804,1820,D00,rapid,,45,,,,35577922,1,600,0,-16
Rated Rapid game,0-1,1582,1518,C23,rapid,,59,,,,901665,1,600,0,64
Rated Rapid game,0-1,1658,1665,B10,rapid,,45,,BA,,2908080,1,600,0,-7
Rated Rapid game,0-1,1643,1638,C50,rapid,,45,,,,3962863,1,600,0,5
Rated Rapid tournament,0-1,1566,2208,B27,rapid,,,,,,,1,480,0,-642
Rated Rapid game,0-1,1648,1682,C30,rapid,,,,,,,1,600,0,-34
Rated Rapid game,0-1,1541,1585,C40,rapid,45,,,,3190964,,1,600,0,-44
Rated Rapid game,0-1,1776,1785,B13,rapid,,,,,,,1,600,0,-9
Rated Rapid game,0-1,1281,1285,A40,rapid,45,60,MX,,1267479,1130499,1,600,5,-4
Rated Rapid game,0-1,1514,1548,D06,rapid,45,45,,KG,700921,11531129,1,600,0,-34
Rated Rapid game,0-1,1915,1892,B10,rapid,45,45,,EU,10229681,3382062,1,600,0,23
Rated Rapid game,0-1,747,881,A40,rapid,81,,,,212641,,1,600,5,-134
Rated Rapid game,0-1,1639,1633,C44,rapid,,,,,,,1,600,0,6
Rated Rapid game,0-1,1328,1309,B01,rapid,85,69,,,809159,191069,1,600,0,19
Rated Rapid game,0-1,1800,1784,C35,rapid,,,,,,,1,600,0,16
Rated Rapid game,0-1,1732,1697,C02,rapid,50,69,,PH,20703268,251870,1,600,0,35
Rated Rapid tournament,0-1,1087,856,C42,rapid,,64,,,,179569,1,600,0,231
Rated Rapid game,0-1,624,1004,A00,rapid,,,,,,,1,600,0,-380
Rated Rapid game,0-1,1393,1319,C00,rapid,,,,,,,1,600,5,74
Rated Rapid game,0-1,1629,1642,A00,rapid,,45,,_earth,,349112,1,600,0,-13
Rated Rapid game,0-1,1736,1716,C47,rapid,,,,,,-1,1,600,0,20
Rated Rapid game,0-1,1017,1025,C20,rapid,,,,,,,1,600,0,-8
Rated Rapid game,0-1,575,626,B02,rapid,,,,,,,1,600,0,-51
Rated Rapid game,0-1,1638,1705,B22,rapid,,45,,,,9558065,1,600,0,-67
Rated Rapid game,0-1,1740,1751,B01,rapid,,,,,,,1,600,5,-11
Rated Rapid game,0-1,1799,1755,A84,rapid,58,,,,256543,,1,600,0,44
Rated Rapid game,0-1,1282,1282,B20,rapid,92,,,,4267957,,1,900,10,0
Rated Rapid game,0-1,1683,1716,A40,rapid,45,,,,2304420,,1,600,5,-33
Rated Rapid game,0-1,1669,1675,A00,rapid,45,,,,1240651,,1,600,0,-6
Rated Rapid game,0-1,1116,1051,B00,rapid,88,,,,177058,,1,600,0,65
Rated Rapid game,0-1,2180,2153,C10,rapid,,,,,,,1,600,0,27
Rated Rapid game,0-1,871,912,C50,rapid,88,,,,368966,-1,1,600,0,-41
Rated Rapid game,0-1,1183,1173,D20,rapid,,61,,,,1311324,1,600,0,10
Rated Rapid game,0-1,1926,1933,A04,rapid,45,,,,13051026,,1,600,0,-7
Rated Rapid game,0-1,1444,1482,A04,rapid,47,45,,,1239183,3772460,1,600,0,-38
Rated Rapid game,0-1,2038,2133,B70,rapid,,54,,RU,,3389658,1,600,5,-95
Rated Rapid game,0-1,1064,1042,C00,rapid,45,45,,,902550,19488972,1,600,0,22
Rated Rapid game,0-1,1631,1647,C50,rapid,48,79,,,2605605,874134,1,600,5,-16
Rated Rapid game,0-1,795,773,B02,rapid,90,90,,,34216,108144,1,600,0,22
Rated Rapid game,0-1,1164,1221,C23,rapid,,,,,,,1,600,0,-57
Rated Rapid game,0-1,1320,1353,B00,rapid,,,,,,,1,600,0,-33
Rated Rapid game,0-1,794,891,D01,rapid,,65,,,,567790,1,600,0,-97
Rated Rapid game,0-1,1742,1693,C50,rapid,46,,,,3182966,,1,600,0,49
Rated Rapid game,0-1,1893,1866,B20,rapid,,45,,_russia-wbw,,5581988,1,600,0,27
Rated Rapid game,0-1,2074,2067,B12,rapid,,83,,,,398701,1,480,1,7
Rated Rapid game,0-1,1384,1381,C41,rapid,,,,,,,1,600,0,3
Rated Rapid game,0-1,1519,1534,A40,rapid,45,,,,629858,,1,600,0,-15
Rated Rapid game,0-1,511,622,D01,rapid,48,,,,240732,,1,600,5,-111
Rated Rapid game,0-1,1836,1863,C02,rapid,,45,,,,10412253,1,600,0,-27
Rapid swiss,0-1,1462,1165,C20,rapid,,,,,,,0,600,2,297
Rated Rapid game,0-1,813,869,C47,rapid,131,45,,,14180,890498,1,600,0,-56
Rated Rapid game,0-1,1908,2060,B23,rapid,58,,,,7122121,,1,600,5,-152
Rated Rapid game,0-1,1974,1980,C34,rapid,75,50,ID,ID,8739068,1727451,1,600,0,-6
Rated Rapid game,0-1,1431,1721,C44,rapid,,82,,AQ,,240797,1,300,5,-290
Rated Rapid game,0-1,972,971,C20,rapid,46,,,,337486,,1,600,0,1
Rated Rapid game,0-1,1203,1171,C22,rapid,45,,SE,,11238314,,1,600,5,32
Rated Rapid game,0-1,1539,1615,C41,rapid,,60,,,,3349356,1,600,0,-76
Rated Rapid game,0-1,1510,1503,C26,rapid,,,,,,,1,600,0,7
Rated Rapid game,0-1,1408,1410,A41,rapid,,,,,,,1,600,0,-2
Rated Rapid game,0-1,1713,2095,A45,rapid,45,45,,BD,16766344,25518208,1,600,2,-382
Rated Rapid game,0-1,885,885,C50,rapid,58,,,,563942,,1,900,10,0
Rated Rapid game,0-1,1320,1335,C41,rapid,,,,,,,1,600,5,-15
Rated Rapid game,0-1,1778,1708,B50,rapid,59,,UA,,24514586,,1,900,0,70
Rated Rapid game,0-1,1687,1658,B00,rapid,45,45,,,5153640,1456767,1,600,0,29
Rated Rapid game,0-1,1127,1100,B01,rapid,45,72,RU,FR,1982981,702619,1,600,0,27
Rated Rapid game,0-1,831,940,A00,rapid,,,,,,-1,1,600,0,-109
Rated Rapid game,0-1,1468,1497,A45,rapid,,,,,,,1,600,5,-29
Rated Rapid game,0-1,1791,1754,C01,rapid,,,,,,,1,600,0,37
Rated Rapid game,0-1,1203,1274,D00,rapid,45,,,,475761,-1,1,600,0,-71
Rated Rapid game,0-1,2187,2225,B52,rapid,,,,,,,1,600,0,-38
Rated Rapid game,0-1,1972,1883,C10,rapid,45,,US,,5135053,,1,600,0,89
Rated Rapid game,0-1,1351,1333,A06,rapid,45,45,,BE,2595147,22272342,1,600,0,18
Rated Rapid game,0-1,1899,1862,C55,rapid,45,98,,AT,6483681,3919918,1,600,0,37
Rated Rapid game,0-1,1823,1824,A43,rapid,,,,,,,1,600,0,-1
Rated Rapid tournament,0-1,1453,1890,C41,rapid,45,,,,1374241,,1,600,0,-437
Rated Rapid game,0-1,1792,1944,B00,rapid,,126,,,,2419856,1,600,0,-152
Rated Rapid game,0-1,1666,1627,C21,rapid,,45,,,,2612198,1,600,0,39
Rated Rapid game,0-1,1670,1594,C40,rapid,,,,,,,1,600,0,76
Rated Rapid tournament,0-1,1543,1552,D00,rapid,,,,,,,1,480,0,-9
Rated Rapid tournament,0-1,1319,1287,C21,rapid,,,,,,,1,300,5,32
Rated Rapid game,0-1,1333,1280,D00,rapid,45,,,,7357945,,1,600,0,53
Rated Rapid game,0-1,1509,1592,A00,rapid,,45,,IR,,2918661,1,600,0,-83
Rated Rapid game,0-1,1834,1823,D01,rapid,,,,,,,1,600,0,11
Rated Rapid game,0-1,1563,1531,A43,rapid,88,,,,1039999,,1,600,0,32
Rated Rapid game,0-1,1331,1389,C00,rapid,,,,,,,1,600,0,-58
Rated Rapid tournament,0-1,1701,1515,?,rapid,,,,,,,1,600,0,186
Rated Rapid game,0-1,831,940,A00,rapid,,,,,,-1,1,600,0,-109
Rated Rapid game,0-1,1525,1542,C01,rapid,,,,,,,1,600,0,-17
Rated Rapid game,0-1,1729,1730,C02,rapid,,,,,,,1,600,0,-1
Rated Rapid game,0-1,1609,1566,C26,rapid,,50,,,,6692908,1,600,0,43
Rated Rapid game,0-1,1535,1611,A03,rapid,,66,,RS,,1575578,1,600,5,-76
Rated Rapid game,0-1,1488,1511,C41,rapid,45,46,,,1286747,3603904,1,600,0,-23
Rated Rapid game,0-1,1320,1329,C50,rapid,,75,,,,2749075,1,600,0,-9
Rated Rapid game,0-1,1121,1109,C55,rapid,59,,,,632362,,1,600,0,12
Rated Rapid game,0-1,939,951,C50,rapid,,85,,,,388463,1,600,0,-12
Rated Rapid game,0-1,516,540,C40,rapid,,,,,,,1,600,5,-24
Rated Rapid game,0-1,1812,1812,C00,rapid,,,,,,,1,600,0,0
Rated Rapid game,0-1,1796,1780,C23,rapid,,,,,,,1,600,0,16
Rated Rapid tournament,0-1,1450,1545,C40,rapid,75,,,,391274,,1,600,0,-95
Rated Rapid game,0-1,1692,1756,D30,rapid,63,,,,398128,,1,600,0,-64
Rated Rapid game,0-1,1979,1954,C70,rapid,,,,,,,1,600,0,25
Rated Rapid game,0-1,1499,1564,A00,rapid,45,49,,,11398402,2314456,1,600,3,-65
Rapid swiss,0-1,832,1043,B02,rapid,,199,,,,4506,0,600,3,-211
Rated Rapid tournament,0-1,1403,1830,?,rapid,,54,,VN,,1626266,1,600,0,-427
Rated Rapid game,0-1,1697,1659,D02,rapid,45,,,,2314043,,1,600,0,38
Rated Rapid game,0-1,1569,1581,C01,rapid,,,,,,,1,600,0,-12
Rated Rapid game,0-1,1881,1848,D00,rapid,47,54,,IT,8018054,3857113,1,600,0,33
Rated Rapid game,0-1,1316,1314,B10,rapid,,,,,,,1,600,0,2
Rated Rapid game,0-1,1793,1856,D00,rapid,45,,,,6444923,-1,1,600,0,-63
Rated Rapid game,0-1,1056,1062,C40,rapid,45,,,,2171299,,1,600,0,-6
Rated Rapid game,0-1,2013,2061,A15,rapid,48,,,,21292169,,1,600,0,-48
Rated Rapid game,0-1,1289,1227,C41,rapid,92,,,,4267957,,1,900,10,62
Rated Rapid game,0-1,2014,2086,A05,rapid,,,,,,,1,600,0,-72
Rated Rapid game,0-1,1963,2036,B50,rapid,46,,DE,,4737479,,1,600,5,-73
Rated Rapid game,0-1,1759,1856,C02,rapid,,,,,,-1,1,600,0,-97
Rated Rapid game,0-1,1984,1882,D35,rapid,,,,,,,1,600,0,102
Rated Rapid game,0-1,972,971,C20,rapid,46,,,,337486,,1,600,0,1
Rated Rapid tournament,0-1,1857,1809,B00,rapid,56,,,,2752637,,1,600,0,48
Rated Rapid game,0-1,1862,1791,B13,rapid,,,,,,,1,600,0,71
Rated Rapid game,0-1,1485,1496,C50,rapid,,75,,,,2350653,1,600,0,-11
Rated Rapid tournament,0-1,2064,1182,C24,rapid,,64,,,,198919,1,600,0,882
Rated Rapid game,0-1,2048,2054,B50,rapid,,45,,,,1662205,1,600,0,-6
Rated Rapid game,0-1,937,1004,C46,rapid,72,90,,,1103943,213574,1,600,0,-67
Rated Rapid game,0-1,1735,1726,B30,rapid,,,,,,,1,600,0,9
Rated Rapid game,0-1,1766,1852,A40,rapid,,,,,,,1,600,0,-86
Rated Rapid game,0-1,1304,1384,C44,rapid,,45,,,,4116420,1,600,5,-80
Rated Rapid game,0-1,1034,1147,C50,rapid,89,45,,,712018,19439656,1,600,0,-113
Rated Rapid game,0-1,1474,1588,B01,rapid,,,,,,,1,600,0,-114
Rated Rapid game,0-1,742,674,B12,rapid,,,,,,,1,600,0,68
Rated Rapid game,0-1,1628,1652,B20,rapid,,45,,,,14021402,1,600,0,-24
Rated Rapid game,0-1,1233,1201,C41,rapid,,45,,RU,,1271985,1,600,5,32
Rated Rapid game,0-1,1930,1961,B32,rapid,,,,,,,1,600,0,-31
Rated Rapid game,0-1,1290,1268,C50,rapid,59,45,,MX,727072,1267479,1,600,5,22
Rated Rapid game,0-1,1548,1467,C55,rapid,48,,IN,,5148949,,1,600,0,81
Rated Rapid game,0-1,1638,1551,C43,rapid,45,92,,UG,3952638,519940,1,600,0,87
Rated Rapid tournament,0-1,1862,1619,A20,rapid,,60,,MY,,1125147,1,600,0,243
Rated Rapid game,0-1,997,860,C42,rapid,,,,,,,1,600,0,137
Rated Rapid game,0-1,1882,1872,B06,rapid,,89,,,,163131,1,600,0,10
Rapid swiss,0-1,1699,1416,A00,rapid,170,143,,,5327,8930,0,600,2,283
Rated Rapid game,0-1,2066,2086,B00,rapid,46,,EG,,4602947,,1,600,0,-20
Rated Rapid game,0-1,1349,1351,B00,rapid,89,47,,,353457,2083592,1,600,0,-2
Rated Rapid tournament,0-1,1301,1231,C47,rapid,,,,,,,1,600,0,70
Rated Rapid game,0-1,1794,1807,B28,rapid,47,45,,,1355914,3114593,1,600,0,-13
Rated Rapid tournament,0-1,1673,2076,A00,rapid,122,45,,,851687,33791952,1,600,0,-403
Rated Rapid game,0-1,1371,1333,B40,rapid,144,,IN,,55761,,1,600,0,38
Rated Rapid game,0-1,1699,1653,A01,rapid,,45,,,,1328807,1,600,0,46
Rated Rapid game,0-1,1389,1377,C44,rapid,,45,,,,2570732,1,600,5,12
Rated Rapid game,0-1,1564,1552,C02,rapid,45,76,FR,EG,4356054,490308,1,600,0,12
Rated Rapid game,0-1,1845,1839,C44,rapid,,,,,,,1,600,0,6
Rated Rapid game,0-1,1804,1824,C50,rapid,45,,,,9487372,,1,600,0,-20
Rated Rapid game,0-1,1255,1267,C41,rapid,,,,,,,1,600,0,-12
Rated Rapid tournament,0-1,682,791,C47,rapid,,51,,,,138038,1,600,5,-109
Rated Rapid game,0-1,1653,1637,B20,rapid,59,84,,,3391655,2228850,1,600,0,16
Rated Rapid game,0-1,944,977,D20,rapid,,94,,,,146813,1,600,0,-33
Rated Rapid game,0-1,1812,1813,C44,rapid,45,45,,,15577845,7859905,1,600,0,-1
Rated Rapid game,0-1,1848,1821,B00,rapid,45,,,,13360144,,1,600,0,27
Rated Rapid game,0-1,1414,1474,C65,rapid,65,,,,1340501,,1,600,0,-60
Rated Rapid tournament,0-1,2095,2134,A53,rapid,52,,RU,,412021,,1,600,0,-39
Rated Rapid game,0-1,1873,1862,C01,rapid,62,45,IN,,3249517,5061153,1,600,5,11
Rated Rapid game,0-1,1999,2016,A10,rapid,,,,,,,1,600,0,-17
Rated Rapid game,0-1,1255,1301,B21,rapid,45,,,,8104333,,1,900,0,-46
Rated Rapid game,0-1,1690,1655,C36,rapid,,,,,,,1,600,0,35
Rated Rapid game,0-1,1607,1674,C40,rapid,45,83,,,1648983,1481178,1,600,0,-67
Rated Rapid game,0-1,1502,1485,C50,rapid,,93,,,,76012,1,600,0,17
Rated Rapid game,0-1,1234,1236,C20,rapid,,73,,,,68378,1,600,0,-2
Rated Rapid game,0-1,1142,1114,B01,rapid,68,45,,US,101238,5037193,1,600,0,28
Rated Rapid game,0-1,1804,1813,B21,rapid,,65,,TR,,2650187,1,600,0,-9
Rated Rapid game,0-1,1493,1491,C41,rapid,,,,,,,1,600,5,2
Rated Rapid game,0-1,1047,1008,C44,rapid,,,,,,,1,600,0,39
Rated Rapid game,0-1,1168,1236,C20,rapid,,55,,NL,,3450133,1,600,0,-68
Rated Rapid game,0-1,1011,1045,C50,rapid,45,45,TR,,521612,410720,1,600,0,-34
Rated Rapid game,0-1,1496,1479,C44,rapid,86,48,,,4145559,3946154,1,600,0,17
Rated Rapid game,0-1,1486,1497,C02,rapid,,,,,,,1,600,0,-11
Rated Rapid game,0-1,934,1066,C50,rapid,,,,,,,1,900,10,-132
Rated Rapid game,0-1,1991,2089,B01,rapid,,,,,,,1,600,0,-98
Rated Rapid game,0-1,877,985,C42,rapid,,,,,,,1,600,0,-108
Rated Rapid game,0-1,1475,1400,B21,rapid,84,45,,,105136,4826950,1,600,0,75
Rated Rapid game,0-1,1410,1371,A43,rapid,,,,,,,1,600,0,39
Rated Rapid game,0-1,1349,1410,C65,rapid,,45,,,,613686,1,900,0,-61
Rated Rapid game,0-1,2116,2187,C42,rapid,45,51,NL,,5451740,5554742,1,600,0,-71
Rated Rapid game,0-1,1805,1755,A80,rapid,,65,,RU,,1525121,1,600,5,50
Rated Rapid game,0-1,1136,1133,C48,rapid,,67,,,,170108,1,600,0,3
Rated Rapid tournament,0-1,1070,1368,C50,rapid,,,,,,,1,600,0,-298
Rated Rapid game,0-1,2229,2153,B12,rapid,,,,,,,1,600,0,76
Rated Rapid game,0-1,1445,1439,A40,rapid,83,,,,365242,,1,600,0,6
Rated Rapid game,0-1,1976,1982,D12,rapid,62,,,,932300,,1,600,5,-6
Rapid swiss,0-1,2086,1866,D38,rapid,,,,,,,0,900,0,220
Rated Rapid game,0-1,1278,1333,C42,rapid,,,,,,,1,600,0,-55
Rated Rapid game,0-1,964,937,B12,rapid,49,60,,,319722,270563,1,600,0,27
Rated Rapid game,0-1,1952,2075,C02,rapid,,45,,,,17153112,1,900,0,-123
Rapid swiss,0-1,733,819,C23,rapid,,,,,,,0,420,5,-86
Rated Rapid game,0-1,1269,1161,B00,rapid,,,,,,,1,600,0,108
Rated Rapid game,0-1,1406,1385,A40,rapid,,,,,,,1,600,0,21
Rated Rapid game,0-1,1462,1452,C50,rapid,47,,JP,,1232030,,1,600,0,10
Rated Rapid game,0-1,1209,1220,C65,rapid,45,45,KE,,1598129,1556268,1,600,5,-11
Rated Rapid game,0-1,1318,1290,B00,rapid,,,,,,,1,900,10,28
Rated Rapid game,0-1,1219,1270,D06,rapid,,,,,,,1,600,0,-51
Rated Rapid game,0-1,1632,1605,B54,rapid,,,,,,,1,600,5,27
Rated Rapid game,0-1,2103,2180,B20,rapid,,,,,,,1,600,0,-77
Rated Rapid game,0-1,1660,1706,B30,rapid,,,,,,,1,600,0,-46
Rated Rapid game,0-1,1488,1489,C44,rapid,45,,,,1855324,,1,600,0,-1
Rated Rapid game,0-1,888,1488,C50,rapid,94,59,,,554133,929611,1,600,2,-600
Rated Rapid game,0-1,1196,1220,C20,rapid,65,49,,,3787412,1040514,1,600,0,-24
Rated Rapid game,0-1,1647,1640,C02,rapid,76,,,,2012921,,1,600,0,7
Rated Rapid game,0-1,1436,1431,C00,rapid,,,,,,,1,600,0,5
Rated Rapid game,0-1,1448,1435,B00,rapid,45,,,,6280064,,1,600,0,13
Rated Rapid game,0-1,1391,1388,C40,rapid,45,,AU,,5339233,,1,600,0,3
Rated Rapid game,0-1,1798,1926,A00,rapid,,,,,,,1,600,0,-128
Rated Rapid game,0-1,1057,1092,B20,rapid,,,,,,,1,600,0,-35
Rated Rapid game,0-1,1716,1860,A40,rapid,,45,,,,19066807,1,600,5,-144
Rated Rapid tournament,0-1,1743,2016,A00,rapid,,,,,,,1,600,0,-273
Rated Rapid game,0-1,1018,999,C20,rapid,45,62,,,1381889,146331,1,600,0,19
Rated Rapid game,0-1,1731,1794,C41,rapid,58,45,,,739667,4751161,1,600,0,-63
Rated Rapid game,0-1,1705,1693,B15,rapid,,45,,,,3471061,1,600,5,12
Rated Rapid game,0-1,2026,2108,A50,rapid,45,,,,2058324,,1,600,0,-82
Rated Rapid game,0-1,1773,1781,C41,rapid,46,,,,3079569,,1,600,0,-8
Rated Rapid game,0-1,1317,1221,C22,rapid,,,,,,,1,600,0,96
Rated Rapid game,0-1,1415,1447,B10,rapid,45,72,RU,ZA,5610548,177485,1,600,0,-32
Rated Rapid game,0-1,1743,1655,B08,rapid,,,,,,,1,600,0,88
Rated Rapid game,0-1,1487,1460,C21,rapid,,68,,,,2301464,1,600,5,27
Rated Rapid game,0-1,1276,1313,B01,rapid,45,45,,BE,11301932,22272342,1,600,0,-37
Rated Rapid game,0-1,852,871,C20,rapid,88,,,,368966,,1,600,0,-19
Rated Rapid game,0-1,1244,1186,C60,rapid,,,,,,,1,600,0,58
Rated Rapid game,0-1,1526,1472,D00,rapid,45,61,,,15507609,1402716,1,600,0,54
Rated Rapid game,0-1,1724,1753,C24,rapid,,,,,,,1,900,0,-29
Rated Rapid game,0-1,805,825,A45,rapid,,,,,,-1,1,600,0,-20
Rated Rapid tournament,0-1,1841,2218,B22,rapid,45,,,,1893490,,1,480,0,-377
Rated Rapid game,0-1,1452,1534,B30,rapid,,80,,,,1081555,1,1200,5,-82
Rated Rapid game,0-1,1463,1553,D00,rapid,,,,,,,1,600,0,-90
Rated Rapid game,0-1,1997,1979,E76,rapid,,,,,,,1,600,0,18
Rated Rapid game,0-1,2211,2192,C10,rapid,,55,,,,2780779,1,600,0,19
Rated Rapid game,0-1,1455,1561,A06,rapid,45,,KZ,,2860299,,1,600,0,-106
Rated Rapid game,0-1,1294,1378,B20,rapid,45,,,,3806154,,1,600,0,-84
Rated Rapid game,0-1,1395,1497,B40,rapid,,45,,,,11398402,1,600,0,-102
Rated Rapid game,0-1,1767,1707,B52,rapid,,,,,,,1,600,0,60
Rated Rapid game,0-1,1802,1734,B01,rapid,45,,US,,32719342,,1,600,0,68
Rated Rapid game,0-1,1656,1651,A21,rapid,51,,,,2223599,,1,600,5,5
Rated Rapid game,0-1,1725,1770,C46,rapid,45,,,,2513050,,1,600,0,-45
Rated Rapid game,0-1,1416,1682,B50,rapid,72,47,,,786622,1640994,1,300,10,-266
Rated Rapid game,0-1,1262,1267,C62,rapid,45,45,US,,2762589,10236013,1,600,0,-5
Rapid swiss,0-1,506,951,C71,rapid,,,,,,,0,420,5,-445
Rated Rapid game,0-1,790,848,D00,rapid,,88,,,,368966,1,600,0,-58
Rated Rapid game,0-1,1757,1816,B01,rapid,45,45,,,960872,3461376,1,600,0,-59
Rated Rapid tournament,0-1,1308,1174,A00,rapid,68,,,,2036246,,1,600,0,134
Rated Rapid game,0-1,1666,1659,C00,rapid,45,,,,6148618,,1,600,0,7
Rated Rapid game,0-1,1795,1780,C41,rapid,81,45,,,521560,5900871,1,600,0,15
Rated Rapid game,0-1,1594,1581,C23,rapid,,,,,,,1,600,0,13
Rated Rapid game,0-1,1472,1547,B20,rapid,106,,,,12677073,,1,600,0,-75
Rated Rapid game,0-1,1756,1809,B20,rapid,85,,RS,,1600739,,1,420,7,-53
Rated Rapid game,0-1,1845,1886,C01,rapid,,,,,,,1,600,5,-41
Rated Rapid game,0-1,1392,1279,C60,rapid,45,,,,681953,,1,600,0,113
Rated Rapid game,0-1,1296,1218,C40,rapid,,,,,,,1,600,0,78
Rated Rapid tournament,0-1,1844,2009,B77,rapid,,,,,,,1,600,0,-165
Rated Rapid tournament,0-1,1140,1355,B12,rapid,,,,,,,1,600,0,-215
Rated Rapid tournament,0-1,1829,2021,B01,rapid,,,,,,,1,600,0,-192
Rated Rapid game,0-1,1871,1812,A40,rapid,62,,,,1652995,,1,600,0,59
Rated Rapid game,0-1,1994,2010,B22,rapid,,45,,,,7217573,1,600,0,-16
Rated Rapid game,0-1,1900,1829,A40,rapid,49,45,,UA,2490195,30633109,1,600,0,71
Rated Rapid game,0-1,1623,1588,A21,rapid,,,,,,,1,600,8,35
Rated Rapid game,0-1,1740,1771,C00,rapid,45,,,,5124723,,1,600,0,-31
Rated Rapid game,0-1,1165,1091,D00,rapid,,,,,,,1,600,0,74
